trip,timestamp,longitude,latitude,speed_kmh,temperature_c,weather_condition,elevation_m
0,2025-07-27 09:22:26,-118.59660929312614,34.18502367292392,,27.490951230638725,Partly Cloudy,264.0
0,2025-07-27 09:22:27,-118.59660929312614,34.18502367292392,0.0,27.490951230638725,Partly Cloudy,264.08672798948754
1,2025-07-27 11:27:08,-118.34264982154632,34.091550704663966,12.326951188244438,27.945149422173927,Partly Cloudy,264.173455978975
1,2025-07-27 11:27:09,-118.34265284694855,34.09154189334881,3.659339152495905,27.945149422173927,Partly Cloudy,264.26018396846257
1,2025-07-27 11:27:10,-118.34265732268118,34.09153527088741,3.03390380735225,27.945149422173927,Partly Cloudy,264.34691195795006
1,2025-07-27 11:27:11,-118.34265793065616,34.09153167320371,1.4507802912306518,27.945149422173927,Partly Cloudy,264.4336399474376
1,2025-07-27 11:27:12,-118.34265277106572,34.09152353814783,3.6730619631230317,27.945149422173927,Partly Cloudy,264.5203679369251
1,2025-07-27 11:27:13,-118.34265701623464,34.0915211854455,1.6946331850976541,27.945149422173927,Partly Cloudy,264.6070959264126
1,2025-07-27 11:27:14,-118.3426580070974,34.09152112444139,0.3300925958156559,27.945149422173927,Partly Cloudy,264.6938239159001
1,2025-07-27 11:27:15,-118.3426580070974,34.09152112444139,0.0,27.945149422173927,Partly Cloudy,264.78055190538765
1,2025-07-27 11:27:16,-118.3426580070974,34.09152112444139,0.0,27.945149422173927,Partly Cloudy,264.86727989487514
1,2025-07-27 11:27:17,-118.3426580070974,34.09152112444139,0.0,27.945149422173927,Partly Cloudy,264.9540078843627
1,2025-07-27 11:27:18,-118.3426580070974,34.09152112444139,0.0,27.945149422173927,Partly Cloudy,265.0407358738502
1,2025-07-27 11:27:19,-118.3426580070974,34.09152112444139,0.0,27.945149422173927,Partly Cloudy,265.1274638633377
1,2025-07-27 11:27:20,-118.3426580070974,34.09152112444139,0.0,27.945149422173927,Partly Cloudy,265.21419185282525
1,2025-07-27 11:27:21,-118.3426580070974,34.09152112444139,0.0,27.945149422173927,Partly Cloudy,265.30091984231274
1,2025-07-27 11:27:22,-118.3426580070974,34.09152112444139,0.0,27.945149422173927,Partly Cloudy,265.3876478318003
1,2025-07-27 11:27:23,-118.3426580070974,34.09152112444139,0.0,27.945149422173927,Partly Cloudy,265.47437582128777
1,2025-07-27 11:27:24,-118.3426580070974,34.09152112444139,0.0,27.945149422173927,Partly Cloudy,265.5611038107753
1,2025-07-27 11:27:25,-118.3426580070974,34.09152112444139,0.0,27.945149422173927,Partly Cloudy,265.6478318002628
1,2025-07-27 11:27:26,-118.3426580070974,34.09152112444139,0.0,27.945149422173927,Partly Cloudy,265.73455978975034
1,2025-07-27 11:27:27,-118.3426580070974,34.09152112444139,0.0,27.945149422173927,Partly Cloudy,265.8212877792378
1,2025-07-27 11:27:28,-118.34259104304826,34.091532362787525,22.69546572871087,27.945149422173927,Partly Cloudy,265.90801576872536
